kingdom,phylum,class,order,family,genus,species,reads,sample
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia wexlerae,813669,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia obeum,73567,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia sp. SC05B48,9833,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia sp. NBRC 113351,115,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia argi,698,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hansenii,380,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia producta,163,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia liquoris,101,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia pseudococcoides,38,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,686289,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Dorea,Dorea longicatena,309559,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Dorea,Dorea formicigenerans,13002,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus comes,114141,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus catus,89283,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus sp. ART55/1,1415,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus eutactus,1199,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,191184,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,94442,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerostipes,Anaerostipes caccae,148,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] torques,75220,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] lactaris,7299,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,5228,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia hominis,22635,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia intestinalis,25870,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia rectibacter,1133,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Simiaoa,Simiaoa sunii,21384,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospira,Lachnospira eligens,5667,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,4450,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster asparagiformis,409,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster clostridioformis,305,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,1736,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,[Clostridium] hylemonae,530,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium phocaeense,161,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio crossotus,2340,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,1459,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Wujia,Wujia chipingensis,1278,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Wansuia,Wansuia hejianensis,900,C0231564_S35
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,636,C0231564_S35
