sample_id,treatment,flux
C0219269,No Treatment,5.176507330107292
C0219781,No Treatment,24.953035194508338
C0223873,No Treatment,10.505737413090838
C0224389,No Treatment,18.124101786426525
C0224393,No Treatment,13.842430910659155
C0227456,No Treatment,18.774214443429674
C0227725,No Treatment,15.653467839131316
C0231044,No Treatment,5.538443904853491
C0231049,No Treatment,2.892864456200504
C0232068,No Treatment,11.02945050063848
C0232073,No Treatment,3.0885885685847385
C0232589,No Treatment,4.459147394901819
C0252289,No Treatment,44.81871668941186
C0252801,No Treatment,33.314847416501095
C0253057,No Treatment,11.659136431403667
C0253061,No Treatment,6.951207958560092
C0255877,No Treatment,6.1651277452352495
C0255885,No Treatment,13.498345981184457
C0264324,No Treatment,10.299592712271316
C0264585,No Treatment,18.839715541505516
C0265088,No Treatment,19.565137960451096
C0219269,"WBF-011 + Inulin, 0.3g",6.76058593839316
C0219781,"WBF-011 + Inulin, 0.3g",14.971584861709156
C0223873,"WBF-011 + Inulin, 0.3g",15.9598105140316
C0224389,"WBF-011 + Inulin, 0.3g",18.914803674475692
C0224393,"WBF-011 + Inulin, 0.3g",10.40122502786779
C0227456,"WBF-011 + Inulin, 0.3g",13.852353837954418
C0227725,"WBF-011 + Inulin, 0.3g",9.578338409039686
C0231044,"WBF-011 + Inulin, 0.3g",6.427188213473683
C0231049,"WBF-011 + Inulin, 0.3g",6.069132526318452
C0232068,"WBF-011 + Inulin, 0.3g",13.182411930577175
C0232073,"WBF-011 + Inulin, 0.3g",5.688400022003617
C0232589,"WBF-011 + Inulin, 0.3g",11.590803058437519
C0252289,"WBF-011 + Inulin, 0.3g",87.16024905541107
C0252801,"WBF-011 + Inulin, 0.3g",16.436720491712908
C0253057,"WBF-011 + Inulin, 0.3g",10.56086280403799
C0253061,"WBF-011 + Inulin, 0.3g",6.856160705684769
C0255877,"WBF-011 + Inulin, 0.3g",5.710832904964139
C0255885,"WBF-011 + Inulin, 0.3g",14.059650549211465
C0264324,"WBF-011 + Inulin, 0.3g",10.644159544734876
C0264585,"WBF-011 + Inulin, 0.3g",11.948837760232186
C0265088,"WBF-011 + Inulin, 0.3g",14.302791744637036
C0219269,"WBF-011 + Inulin, 30g",40.531345295339065
C0219781,"WBF-011 + Inulin, 30g",39.65467184017991
C0223873,"WBF-011 + Inulin, 30g",27.64754542709525
C0224389,"WBF-011 + Inulin, 30g",20.00365121237184
C0224393,"WBF-011 + Inulin, 30g",13.244780915227066
C0227456,"WBF-011 + Inulin, 30g",24.049974598832947
C0227725,"WBF-011 + Inulin, 30g",14.606068756944461
C0231044,"WBF-011 + Inulin, 30g",28.350018106484818
C0231049,"WBF-011 + Inulin, 30g",6.4259100788792995
C0232068,"WBF-011 + Inulin, 30g",24.86746109062096
C0232073,"WBF-011 + Inulin, 30g",8.679163520305417
C0232589,"WBF-011 + Inulin, 30g",19.617940320846003
C0252289,"WBF-011 + Inulin, 30g",62.07918906207087
C0252801,"WBF-011 + Inulin, 30g",14.290048298265068
C0253057,"WBF-011 + Inulin, 30g",16.76463732075099
C0253061,"WBF-011 + Inulin, 30g",11.90079363665964
C0255877,"WBF-011 + Inulin, 30g",46.695983973306156
C0255885,"WBF-011 + Inulin, 30g",14.909111205884733
C0264324,"WBF-011 + Inulin, 30g",18.98940663393349
C0264585,"WBF-011 + Inulin, 30g",15.670546790491295
C0265088,"WBF-011 + Inulin, 30g",26.807224076724612
