sample_id,treatment,flux
C0219269,No Treatment,58.853533347761626
C0219781,No Treatment,61.56680907327757
C0223873,No Treatment,70.27628662955573
C0224389,No Treatment,93.60343480940662
C0224393,No Treatment,47.85613316732435
C0227456,No Treatment,82.22005906325013
C0227725,No Treatment,47.93850979802521
C0231044,No Treatment,31.39206312892891
C0231049,No Treatment,20.344767234244628
C0232068,No Treatment,31.700661655491118
C0232073,No Treatment,43.59931166939779
C0232589,No Treatment,28.422919044050055
C0252289,No Treatment,115.76972530485581
C0252801,No Treatment,93.41320224420276
C0253057,No Treatment,33.23848065729447
C0253061,No Treatment,25.616355617784205
C0255877,No Treatment,71.08311369124807
C0255885,No Treatment,42.18021318229674
C0264324,No Treatment,32.94085873379059
C0264585,No Treatment,76.67504424086397
C0265088,No Treatment,65.61313404955453
C0219269,"WBF-011 + Inulin, 0.3g",47.92651751522001
C0219781,"WBF-011 + Inulin, 0.3g",45.3574203312438
C0223873,"WBF-011 + Inulin, 0.3g",59.582814640076386
C0224389,"WBF-011 + Inulin, 0.3g",61.487101002761925
C0224393,"WBF-011 + Inulin, 0.3g",46.22299463267747
C0227456,"WBF-011 + Inulin, 0.3g",63.71741025698983
C0227725,"WBF-011 + Inulin, 0.3g",45.87442138599823
C0231044,"WBF-011 + Inulin, 0.3g",37.415405255915566
C0231049,"WBF-011 + Inulin, 0.3g",21.82792842044871
C0232068,"WBF-011 + Inulin, 0.3g",28.992249542959176
C0232073,"WBF-011 + Inulin, 0.3g",33.3469106261384
C0232589,"WBF-011 + Inulin, 0.3g",32.35058198341599
C0252289,"WBF-011 + Inulin, 0.3g",57.14779526085923
C0252801,"WBF-011 + Inulin, 0.3g",78.93903927053283
C0253057,"WBF-011 + Inulin, 0.3g",30.61627746837323
C0253061,"WBF-011 + Inulin, 0.3g",25.768921247555376
C0255877,"WBF-011 + Inulin, 0.3g",45.322021202009985
C0255885,"WBF-011 + Inulin, 0.3g",42.21181257879567
C0264324,"WBF-011 + Inulin, 0.3g",29.795213560427268
C0264585,"WBF-011 + Inulin, 0.3g",65.62339828388828
C0265088,"WBF-011 + Inulin, 0.3g",50.58491725936811
C0219269,"WBF-011 + Inulin, 30g",63.6383489108876
C0219781,"WBF-011 + Inulin, 30g",101.87140217549046
C0223873,"WBF-011 + Inulin, 30g",81.48293331819572
C0224389,"WBF-011 + Inulin, 30g",100.98595761826209
C0224393,"WBF-011 + Inulin, 30g",162.2436446067907
C0227456,"WBF-011 + Inulin, 30g",153.96325560717952
C0227725,"WBF-011 + Inulin, 30g",143.72399330561402
C0231044,"WBF-011 + Inulin, 30g",110.88566391350588
C0231049,"WBF-011 + Inulin, 30g",124.10804159668795
C0232068,"WBF-011 + Inulin, 30g",116.09425080866825
C0232073,"WBF-011 + Inulin, 30g",109.97389445813894
C0232589,"WBF-011 + Inulin, 30g",112.34423317898856
C0252289,"WBF-011 + Inulin, 30g",79.80432417170869
C0252801,"WBF-011 + Inulin, 30g",95.38948733482522
C0253057,"WBF-011 + Inulin, 30g",130.55629640991862
C0253061,"WBF-011 + Inulin, 30g",102.59258238704611
C0255877,"WBF-011 + Inulin, 30g",97.04047954771882
C0255885,"WBF-011 + Inulin, 30g",137.79896554547193
C0264324,"WBF-011 + Inulin, 30g",102.4393224511124
C0264585,"WBF-011 + Inulin, 30g",150.9075889754021
C0265088,"WBF-011 + Inulin, 30g",132.5866478403518
